longitude,latitude,stolen_place,cost,status,hood_num,hood_name,case_num
-79.3834067466836,43.6621309012347,Apartment,1000,STOLEN,169,Bay-Cloverhill (169),780
-79.3505867649229,43.6430468821505,Commercial,700,STOLEN,070,South Riverdale (70),979
-79.442302422009,43.6689814214509,Outside,700,STOLEN,171,Junction-Wallace Emerson (171),530
-79.3654189001849,43.7086356660562,House,649,STOLEN,056,Leaside-Bennington (56),251
-79.3654189001849,43.7086356660562,House,4319,STOLEN,056,Leaside-Bennington (56),251
-79.3728354505733,43.6527314918352,Outside,800,STOLEN,168,Downtown Yonge East (168),1618
-79.3787565471547,43.6543176934214,Outside,1000,STOLEN,168,Downtown Yonge East (168),1618
-79.2782527663258,43.6887470335844,Other,1200,STOLEN,122,Birchcliffe-Cliffside (122),119
-79.3999218360304,43.6579416996671,Outside,2000,STOLEN,079,University (79),1023
-79.3709107236232,43.7694725960203,Outside,237,STOLEN,052,Bayview Village (52),165
-79.1828486083702,43.7691525997965,Commercial,160,STOLEN,136,West Hill (136),158
-79.37905065457,43.6719104110141,Outside,3500,STOLEN,074,North St.James Town (74),486
-79.3722193538152,43.6612248003286,Outside,375,STOLEN,073,Moss Park (73),1110
-79.3820262502107,43.6683471074508,Outside,350,STOLEN,167,Church-Wellesley (167),1053
-79.379033751928,43.6679305070342,Outside,150,STOLEN,167,Church-Wellesley (167),1053
-79.3944049351969,43.6401405792443,Apartment,0,STOLEN,165,Harbourfront-CityPlace (165),1044
-79.3753603549043,43.6687217078254,Apartment,1106.27,STOLEN,074,North St.James Town (74),486
-79.379033751928,43.6679305070342,Outside,150,STOLEN,167,Church-Wellesley (167),1053
-79.5815641763932,43.724088558732,Educational,250,STOLEN,001,West Humber-Clairville (1),101
-79.3769330479008,43.6529091920128,Other,350,STOLEN,168,Downtown Yonge East (168),1618
